Course_Title,Degree_Level,Course_Domain,Start_Date,End_Date,Course_Link
BSc (Hons) Economics and Finance,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-economics-and-finance
BSc (Hons) Ecology and Conservation with a Year Abroad,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-ecology-and-conservation-with-a-year-abroad
BSc (Hons) Ecology and Conservation,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-ecology-and-conservation
BSc (Hons) Developmental Psychology with a Year Abroad,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-developmental-psychology-with-a-year-abroad
BSc (Hons) Developmental Psychology with a Placement Year,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-developmental-psychology-with-a-placement-year
BSc (Hons) Developmental Psychology,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-developmental-psychology
BSc (Hons) Computing Science with a Year in Industry,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-computing-science-with-a-year-in-industry
BSc (Hons) Computing Science with a Foundation Year,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-computing-science-with-a-foundation-year
BSc (Hons) Computing Science,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-computing-science
BSc (Hons) Computing and Creative Technologies with a Year in Industry,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-computing-and-creative-technologies-with-a-year-in-industry
BSc (Hons) Computing and Creative Technologies,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-computing-and-creative-technologies
BSc (Hons) Cognitive Psychology with a Year Abroad,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-cognitive-psychology-with-a-year-abroad
BSc (Hons) Cognitive Psychology with a Placement Year,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-cognitive-psychology-with-a-placement-year
BSc Cognitive Psychology,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-cognitive-psychology
BSc (Hons) Children and Young People’s Nursing,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-children-and-young-peoples-nursing
BSc (Hons) Chemistry with a Foundation Year,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-chemistry-with-a-foundation-year
BSc (Hons) Chemistry,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-chemistry
BSc (Hons) Business Information Systems with a Year in Industry,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-information-systems-with-a-year-in-industry
BSc (Hons) Business Information Systems,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-information-systems
BSc (Hons) Business Finance and Management with a Year in Industry,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-finance-and-management-with-a-year-in-industry
BSc (Hons) Business Finance and Management with a Year Abroad,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-finance-and-management-with-a-year-abroad
BSc (Hons) Business Finance and Management,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-finance-and-management
BSc (Hons) Business Finance and Economics with a Year Abroad,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-finance-and-economics-with-a-year-abroad
BSc (Hons) Business Finance and Economics,UNDERGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-finance-and-economics
BSc (Hons) Business Economics with a Year Abroad,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-economics-with-a-year-abroad
BSc (Hons) Business Economics with a Placement Year,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-economics-with-a-placement-year
