Course_Title,Degree_Type,Attendance_Mode,Start_Date,Course_Link
"Education (Mathematics Education) MA, PGDip",PGDip,"Part-time - MA, Part-time - PGDip","Jan 2024, Sep 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/education-mathematics-education
"Education (Teaching & Learning) MA, PGDip",PGDip,"Part-time - MA, Part-time - PGDip","Jan 2024, Sep 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/education-teaching-learning
"Education, Society and Globalisation MA",MA,Full-time - MA,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/education-society-and-globalisation
"Educational Leadership MA, PGDip, PGCert",PGCert,"Full-time - MA, Part-time - MA, Full-time - PGDip, Part-time - PGDip, Part-time - PGCert","Jan 2024, Oct 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/educational-leadership
Electronic and Electrical Engineering MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/electronic-and-electrical-engineering
Endodontology MSc,MSc,Part-time - MSc,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/endodontology
Engineering Management MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, May 2024, Oct 2024, Feb 2025, May 2025",https://www1.chester.ac.uk/study/postgraduate/engineering-management
English (MRes) MRes,MRes,"Full-time - MRes, Part-time - MRes",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/english-mres
English Language BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language
English Language (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-combined
English Language and Creative Writing,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-and-creative-writing
English Language and History,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-and-history
English Language and Journalism,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-and-journalism
English Language and Linguistics MA,MA,"Full-time - MA, Part-time - MA",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/english-language-and-linguistics
English Language and Literature BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-and-literature
English Language and Sociology,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-and-sociology
English Literature BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature
English Literature (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature-combined
English Literature and French,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature-and-french
English Literature and History,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature-and-history
English Literature and Psychology,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature-and-psychology
English Literature and Sociology,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature-and-sociology
